Q: http://ssd.jpl.nasa.gov/sbdb_query.cgi#x, alle Asteroiden aus dem Main-belt  mit Durchmesser größer 10 km 
name,diameter,e,a,orbital_period_in_years,albedo,period_of_rot_in_h,GM
"   253 Mathilde",52.8,.2649265206721188,2.648402146905803,4.31006777252602,0.0436,417.7,0.00689
"   254 Augusta",12.11,.1214741945690601,2.194658302173576,3.25131142890291,0.1695,5.8949,
"   255 Oppavia",57.40,.07742693793076225,2.746041508099905,4.55060195046956,0.0374,19.499,
"   256 Walpurga",63.34,.06663434309193882,2.999720484983876,5.19552436218385,0.0530,16.664,
"   257 Silesia",72.66,.1115380307870794,3.119016724613895,5.50851780507893,0.0545,15.7095,
"   258 Tyche",64.78,.2039014069002781,2.617492779622903,4.23483448330768,0.1676,10.041,
"   259 Aletheia",178.60,.127953833731046,3.134363632943967,5.54922420322415,0.0436,8.143,
"   261 Prymno",50.93,.0894489020440554,2.331950217829653,3.56112415067164,0.1141,8.002,
"   263 Dresda",23.24,.07620477819565412,2.889004135946666,4.91055350729408,0.2263,16.809,
"   264 Libussa",50.48,.136962123384029,2.796810722555163,4.67738174376878,0.2971,9.2276,
"   265 Anna",23.66,.2670568330452591,2.420350959109804,3.76552659570449,0.1045,11.681,
"   266 Aline",109.09,.1563327354737369,2.803940212477581,4.69527815801074,0.0448,13.018,
"   267 Tirza",52.68,.09844755492930114,2.774582794021139,4.6217317545565,0.0402,7.648,
"   268 Adorea",139.89,.1368935636980603,3.091535489966633,5.43587619556852,0.0440,7.80,
"   269 Justitia",53.62,.2139926032050307,2.615146134222407,4.22914081305018,0.0974,33.128,
"   270 Anahita",50.78,.1500344911512174,2.199103239897764,3.26119396404237,0.2166,15.06,
"   271 Penthesilea",57.93,.1036079968438093,3.003545399148756,5.20546467242315,0.0633,18.787,
"   272 Antonia",25.35,.02694451194814648,2.778045488362606,4.63038637276579,0.1443,3.8548,
"   273 Atropos",29.27,.1603679010520548,2.395065891054343,3.70667407951021,0.1624,23.924,
"   274 Philagoria",26.57,.1198344388545453,3.043456900856359,5.3095649316336,0.2282,17.938,
"   275 Sapientia",103,.1634153553001786,2.770236086019826,4.61087528544018,0.036,14.931,
"   276 Adelheid",121.60,.06812682345468613,3.117395956088068,5.50422468654469,0.0450,6.315,
"   277 Elvira",27.19,.0914984680446105,2.884219780244926,4.89836032371047,0.2770,29.69,
"   278 Paulina",35.01,.1322169980712292,2.755194587229344,4.5733729331112,0.2505,6.497,
"   280 Philia",45.69,.1075625525237813,2.944598235283519,5.05297644203167,0.0444,70.26,
"   281 Lucretia",11.76,.1323889801471348,2.187856527945024,3.23620825130154,0.1987,4.348,
"   282 Clorinde",39.03,.0806768088896658,2.339436422468454,3.57828619497568,0.0502,6.42,
"   283 Emma",148.06,.1477338881657218,3.046879870217936,5.3185249339852,0.0262,6.896,
"   284 Amalia",52.95,.2214949360743534,2.358764350511958,3.62272222415926,0.0602,8.545,
"   285 Regina",45.13,.2069010594279934,3.083351845659236,5.41430641655294,0.0547,9.542,
"   286 Iclea",94.30,.02892109108803134,3.194874731364931,5.71069484516612,0.0508,15.365,
"   287 Nephthys",67.60,.02334438484739308,2.353068331126344,3.60960775168812,0.1851,7.605,
"   288 Glauke",32.21,.2047042869670895,2.76155252491967,4.58921246144113,0.1973,1170.,
"   289 Nenetta",33.73,.204328636754127,2.873810292703946,4.87186612931963,0.2438,6.902,
"   291 Alice",14.97,.09249502392395485,2.221815505404903,3.31184644346067,0.2075,4.313,
"   292 Ludovica",32.50,.03426728706389699,2.529831368808033,4.02388501754042,0.2652,8.93,
"   293 Brasilia",55.11,.1069436118369717,2.859820181830433,4.83633407134962,0.0615,8.17,
"   294 Felicia",52.97,.2362004155206104,3.156767952278477,5.6088288848586,0.0910,10.4227,
"   295 Theresia",27.72,.1719084891897646,2.795099224778379,4.67308894149305,0.1930,10.730,
"   297 Caecilia",39.48,.1427624569126239,3.163275052068779,5.62618018123344,0.1796,4.163,
"   299 Thora",17.06,.06209279842583552,2.433764301356538,3.79687218027026,0.1673,274.,
"   301 Bavaria",54.32,.06665235491727332,2.725283115664154,4.49909994240571,0.0546,12.253,
"   302 Clarissa",38.53,.1117527596871658,2.405275955734269,3.73040141428586,0.0524,14.381,
"   303 Josephina",99.29,.06191982698499254,3.12305243265808,5.51921250207051,0.0594,12.497,
"   304 Olga",67.86,.2223718649260247,2.402862340470421,3.72478782056175,0.0488,18.36,
"   305 Gordonia",49.17,.1932079314468552,3.094070362610821,5.4425632017812,0.2269,12.893,
"   306 Unitas",46.70,.1513873898177632,2.357852280429503,3.62062121492052,0.2112,8.736,
"   307 Nike",54.96,.14327374021205,2.90625226957727,4.95459507190875,0.0524,7.902,
"   308 Polyxo",140.69,.04000295828287772,2.749745702600172,4.55981266224442,0.0482,12.029,
"   309 Fraternitas",45.32,.1151206848301721,2.664530020622603,4.34949793317436,0.0595,22.398,
"   310 Margarita",32.75,.11342303759527,2.76287248310861,4.59250316058663,0.1250,12.070,
"   311 Claudia",24.05,.002402643196394987,2.897928423567337,4.93332451182628,0.3381,7.532,
"   312 Pierretta",49.96,.1588882033003767,2.783094720826383,4.64301603502274,0.1967,10.282,
